pdf_url,accepted,reason
https://static.cninfo.com.cn/finalpage/2024-10-31/1221577159.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-11-01/1221604188.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-11-02/1221604642.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-11-02/1221604645.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-11-02/1221603812.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-11-09/1221661242.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-11-09/1221660493.PDF,1,公司披露逾期或虚假等
https://static.cninfo.com.cn/finalpage/2024-11-09/1221662838.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-11-16/1221743886.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-11-19/1221767070.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-11-22/1221817240.PDF,0,非目标披露事由
https://static.cninfo.com.cn/finalpage/2024-11-25/1221831584.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-11-30/1221891168.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-11-30/1221892880.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-12-03/1221907473.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-12-06/1221958448.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-12-12/1221998950.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-12-17/1222037968.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-12-20/1222076474.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-12-20/1222092388.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-12-20/1222090406.PDF,1,公司涉嫌信披违法
https://static.cninfo.com.cn/finalpage/2024-12-21/1222092188.PDF,0,仅个人或关联方涉案
https://static.cninfo.com.cn/finalpage/2024-12-21/1222093106.PDF,0,仅个人或关联方涉案
