date,code,notice_date,pdf_url,provisional_purpose,decision,evidence
2024-02-27,sz.301197,2024-02-26,https://static.cninfo.com.cn/finalpage/2024-02-26/1219186254.PDF,employee,pending,
2024-02-28,sh.688591,2024-02-27,https://static.cninfo.com.cn/finalpage/2024-02-27/1219187326.PDF,employee,pending,
2024-02-28,sz.002520,2024-02-27,https://static.cninfo.com.cn/finalpage/2024-02-27/1219185410.PDF,employee,pending,
2024-02-28,sz.300100,2024-02-27,https://static.cninfo.com.cn/finalpage/2024-02-27/1219197331.PDF,employee,pending,
2024-02-28,sz.300538,2024-02-27,https://static.cninfo.com.cn/finalpage/2024-02-27/1219197850.PDF,employee,pending,
2024-02-28,sz.300598,2024-02-27,https://static.cninfo.com.cn/finalpage/2024-02-27/1219186595.PDF,employee,pending,
2024-02-29,sh.688778,2024-02-28,https://static.cninfo.com.cn/finalpage/2024-02-28/1219197045.PDF,employee,pending,
2024-02-29,sz.002436,2024-02-28,https://static.cninfo.com.cn/finalpage/2024-02-28/1219198370.PDF,employee,pending,
2024-02-29,sz.300981,2024-02-28,https://static.cninfo.com.cn/finalpage/2024-02-28/1219198003.PDF,unknown,pending,
2024-02-29,sz.301362,2024-02-28,https://static.cninfo.com.cn/finalpage/2024-02-28/1219207859.PDF,employee,pending,
2024-02-29,sz.301533,2024-02-28,https://static.cninfo.com.cn/finalpage/2024-02-28/1219208152.PDF,unknown,pending,
2024-03-01,sh.603005,2024-02-29,https://static.cninfo.com.cn/finalpage/2024-02-29/1219209363.PDF,employee,pending,
2024-03-01,sh.688147,2024-02-29,https://static.cninfo.com.cn/finalpage/2024-02-29/1219209634.PDF,employee,pending,
2024-03-01,sz.300250,2024-02-29,https://static.cninfo.com.cn/finalpage/2024-02-29/1219213873.PDF,maintain,pending,
2024-03-01,sz.300911,2024-02-29,https://static.cninfo.com.cn/finalpage/2024-02-29/1219209801.PDF,employee,pending,
2024-03-04,sh.601012,2024-03-01,https://static.cninfo.com.cn/finalpage/2024-03-01/1219212310.PDF,employee,pending,
2024-03-04,sh.688072,2024-03-02,https://static.cninfo.com.cn/finalpage/2024-03-02/1219220518.PDF,employee,pending,
2024-03-04,sh.688711,2024-03-01,https://static.cninfo.com.cn/finalpage/2024-03-01/1219214376.PDF,employee,pending,
2024-03-04,sz.002791,2024-03-02,https://static.cninfo.com.cn/finalpage/2024-03-02/1219217488.PDF,unknown,pending,
2024-03-04,sz.300793,2024-03-01,https://static.cninfo.com.cn/finalpage/2024-03-01/1219218677.PDF,employee,pending,
2024-03-05,sz.300825,2024-03-04,https://static.cninfo.com.cn/finalpage/2024-03-04/1219229084.PDF,employee,pending,
2024-03-05,sz.300970,2024-03-04,https://static.cninfo.com.cn/finalpage/2024-03-04/1219230358.PDF,employee,pending,
2024-03-05,sz.301009,2024-03-04,https://static.cninfo.com.cn/finalpage/2024-03-04/1219218301.PDF,employee,pending,
2024-03-06,sh.601609,2024-03-05,https://static.cninfo.com.cn/finalpage/2024-03-05/1219228858.PDF,employee,pending,
2024-03-06,sh.603276,2024-03-05,https://static.cninfo.com.cn/finalpage/2024-03-05/1219230403.PDF,maintain,pending,
2024-03-06,sh.688120,2024-03-05,https://static.cninfo.com.cn/finalpage/2024-03-05/1219230592.PDF,employee,pending,
2024-03-06,sz.000576,2024-03-05,https://static.cninfo.com.cn/finalpage/2024-03-05/1219229081.PDF,unknown,pending,
2024-03-07,sh.603033,2024-03-06,https://static.cninfo.com.cn/finalpage/2024-03-06/1219242435.PDF,employee,pending,
2024-03-08,sh.688627,2024-03-07,https://static.cninfo.com.cn/finalpage/2024-03-07/1219251229.PDF,employee,pending,
2024-03-08,sz.002594,2024-03-07,https://static.cninfo.com.cn/finalpage/2024-03-07/1219249362.PDF,cancel,pending,
2024-03-11,sh.688787,2024-03-09,https://static.cninfo.com.cn/finalpage/2024-03-09/1219266896.PDF,employee,pending,
2024-03-11,sz.001300,2024-03-09,https://static.cninfo.com.cn/finalpage/2024-03-09/1219264776.PDF,employee,pending,
2024-03-11,sz.300613,2024-03-08,https://static.cninfo.com.cn/finalpage/2024-03-08/1219265273.PDF,maintain,pending,
